Health Facility,Station,Year,Week,Pred_Cases,confidence_rate,confidence_pct,alert_threshold,action_threshold
CHINYANI FTC,CHINYANI FTC,2025,32,4,0.8209810495376586,82.1,1.7272727272727273,1.7272727272727273
CHINYANI FTC,CHINYANI FTC,2025,33,4,0.6306055307388305,63.1,2.5454545454545454,2.5454545454545454
CHINYANI FTC,CHINYANI FTC,2025,34,5,0.7125437378883361,71.3,2.3636363636363638,2.3636363636363638
CHINYANI FTC,CHINYANI FTC,2025,35,5,0.4614996910095215,46.1,3.909090909090909,3.909090909090909
CHINYANI FTC,CHINYANI FTC,2025,36,5,0.6160411596298218,61.6,3.6363636363636362,3.6363636363636362
CHINYANI FTC,CHINYANI FTC,2025,37,6,0.6956701040267944,69.6,6.454545454545454,6.454545454545454
CHINYANI FTC,CHINYANI FTC,2025,38,6,0.5887543559074402,58.9,5.2727272727272725,5.2727272727272725
CHINYANI FTC,CHINYANI FTC,2025,39,6,0.7998947525024414,80.0,4.909090909090909,4.909090909090909
CHINYANI FTC,CHINYANI FTC,2025,40,5,0.6248611291249593,62.5,8.0,8.0
CHINYANI FTC,CHINYANI FTC,2025,41,4,0.5224028000464807,52.2,4.454545454545454,4.454545454545454
CHINYANI FTC,CHINYANI FTC,2025,42,2,0.3,30.0,2.909090909090909,2.909090909090909
CHINYANI FTC,CHINYANI FTC,2025,43,2,0.3,30.0,2.090909090909091,2.090909090909091
CHINYANI FTC,CHINYANI FTC,2025,44,2,0.5917067348957061,59.2,1.7272727272727273,1.7272727272727273
CHINYANI FTC,CHINYANI FTC,2025,45,2,0.5452684640884399,54.5,1.4545454545454546,1.4545454545454546
CHINYANI FTC,CHINYANI FTC,2025,46,2,0.3,30.0,1.2727272727272727,1.2727272727272727
CHINYANI FTC,CHINYANI FTC,2025,47,2,0.5781472706794738,57.8,2.909090909090909,2.909090909090909
CHINYANI FTC,CHINYANI FTC,2025,48,2,0.3,30.0,0.8181818181818182,0.8181818181818182
CHINYANI FTC,CHINYANI FTC,2025,49,3,0.6373349279165268,63.7,4.545454545454546,4.545454545454546
CHINYANI FTC,CHINYANI FTC,2025,50,3,0.5645476102828979,56.5,3.4545454545454546,3.4545454545454546
CHINYANI FTC,CHINYANI FTC,2025,51,4,0.5601888155937195,56.0,2.3636363636363638,2.3636363636363638
CHINYANI FTC,CHINYANI FTC,2025,52,5,0.5425955057144165,54.3,4.363636363636363,4.363636363636363
